3404	3502	3399	3610	3696	3194	3118	2830	2586	3300	2769	3611	3208	3783	3389	1570	3598	3018	3597	3107	1968	3302	2579	2294	3390	1641	3600	1879	3201	2493	2479	3105	3311	3697	1886	3957	3510	3606	1638	2925	3288	3599	2135	3496	2489	2224	3605	3501	3495	1714	3400	3394	3500	2752	3706	3602	3190	2205	3401	3000	3291	3879	3880	3207	2142	3117	3398	1880	3289	3213	3497	2582	3010	3403	3698	3601	3498	3406	3784	3499	3306	3305	1713	3396	2128	3509	3701	3405	2751	1715	3794	3790	3956	1639	1868	1709	2682	3503	2488	3699	11.874	0.88504	5.5715	11.874	6.4565	21.488	44
186	563	102	211	10	57	231	506	119	206	272	112	96	93	411	529	35	286	170	172	166	129	142	117	292	100	222	149	218	188	314	165	340	331	237	539	82	169	164	220	137	99	110	191	147	274	21	134	161	124	126	143	477	559	125	412	238	470	148	109	294	236	190	485	171	92	253	154	338	540	141	430	320	208	183	364	530	512	307	178	44	132	168	128	513	177	283	111	230	9	144	136	151	155	189	120	163	348	160	34	1.8565	2.3754	1.9429	1.8565	4.3183	6.8695	42
780	1347	1810	741	1526	1653	985	950	666	1024	996	1137	705	893	949	1646	1461	862	887	943	861	937	1091	1138	852	905	805	1168	1801	594	625	1289	665	1976	737	1043	1462	1042	1404	1527	1802	1888	1511	1803	1463	1345	904	1650	1090	1894	1642	1140	1135	699	1656	981	1593	1349	820	1282	1190	1189	995	1812	1405	1021	742	948	1403	903	1720	1661	860	976	1732	1350	819	1086	1571	740	933	1242	1446	845	1887	1038	735	1584	1717	770	693	1718	777	657	894	668	1087	1649	1811	1585	21.493	0.55505	7.639	21.493	8.194	51.35	24
2802	4036	3741	3063	3450	1836	3648	3827	3360	4151	3742	2634	3657	3652	3448	4030	3822	3154	3829	2006	3163	3740	3451	3260	3739	4138	3727	4027	3961	3064	3556	3902	3347	3656	4086	3809	2622	3887	3963	4139	3460	3256	2087	2969	4236	2883	4102	3049	4149	4271	3980	3825	3155	2974	2968	3161	3438	2723	4194	3162	3550	3061	3159	3962	2713	3886	3903	3974	4087	3964	3978	4233	4031	3062	2878	4235	4088	3259	3254	4150	2882	3354	3250	3350	3651	4140	3984	3906	3346	2541	3068	4028	2623	4100	3655	2801	3561	3251	1921	4226	10.378	3.1367	6.7706	10.378	9.9073	28.365	42
2786	1528	2851	1599	1982	3529	2602	2321	1670	1406	3228	2783	3803	1464	2078	1906	2244	3027	1739	2603	3429	1472	2699	2944	3326	2344	2858	2163	2945	2702	3530	2337	1753	2852	2516	3427	1412	1997	2414	2943	1895	1749	3139	1984	1832	3232	2866	3128	3045	1751	2340	3322	2777	2064	3123	3531	1465	2861	2238	1915	1536	2162	2615	3804	1754	3414	3528	2609	2618	2523	1833	1674	1602	3122	1297	2060	2079	3323	3430	2341	3631	3719	3428	1744	3723	2782	2084	1745	2775	2956	2604	3316	3135	2776	3958	1983	1351	3426	3225	1825	15.318	0.08257	9.3063	15.318	9.2237	18.752	41
4272	3989	4200	4303	4195	4335	3669	4159	3918	4199	4306	3383	4203	4278	3845	4334	4273	4110	4061	4163	4161	4302	4112	4155	4202	3991	3574	3766	4239	3917	4277	4237	4243	3488	4160	3753	4114	4048	4153	3754	3842	3846	3999	4106	4305	4156	4364	3668	4241	3995	4103	3847	3586	3681	3841	4197	3839	4152	4162	4276	4332	4275	4242	3684	4274	4238	3667	4049	4198	3582	3921	4201	3585	3930	3678	4059	3588	3482	3848	4154	3751	4363	4060	3268	4196	4113	4158	4304	4333	4000	4111	4052	4104	3929	3284	3853	4240	4109	4157	3584	2.3812	0.41536	1.3498	2.3812	1.7651	12.498	41
4307	3691	3493	3695	4488	4551	3782	3769	4326	4453	4462	3870	3593	3589	4078	4313	3939	4221	4395	3693	4450	4572	4517	3934	4456	4457	3778	4451	4550	4446	4315	4311	4461	4442	4436	3950	4478	4316	4467	4499	4284	4339	4533	3694	3770	3931	3779	4296	4481	4532	4065	4459	4073	4287	4472	4420	4280	3685	4001	4469	4258	4465	4371	4435	3781	3949	4250	4468	4024	4279	4393	4115	3938	3692	3865	3780	4204	4473	4460	4489	4352	4419	4418	4005	3388	4210	4410	4466	3856	4023	4325	4492	3937	4211	4314	4530	4164	4392	4549	4498	6.1134	0.86686	3.6186	6.1134	4.4855	15.238	34
1704	590	469	1154	829	1637	975	547	685	795	1557	574	1311	1707	918	553	1306	924	1048	648	498	1636	549	556	869	583	1378	1430	468	963	1049	1562	955	1263	650	1011	1489	966	1248	1160	687	1364	1249	1150	1433	1100	1488	520	585	1304	1558	1783	875	644	1422	1102	642	1367	916	766	1063	1007	522	440	1153	886	1206	651	645	1561	676	524	1101	837	611	1363	1490	930	754	1566	974	961	1056	957	489	725	1261	528	526	1308	1703	1149	789	1151	917	844	1262	843	588	1055	10.168	1.571	3.6068	10.168	5.1779	17.212	30
4899	4644	4904	4843	4817	4787	4868	4705	4756	4767	4816	4871	4606	4665	4660	4789	4959	4788	4763	4820	4901	4814	4689	4872	4819	4735	4873	4686	4896	4765	4666	4905	4714	4683	4715	4620	4835	4822	4938	4785	4821	4815	4538	4870	4837	4841	4849	4903	4596	4710	4937	4900	4740	4866	4661	4766	4902	4750	4641	4643	4595	4708	4874	4642	4618	4768	4704	4674	4876	4619	4676	4877	4734	4811	4810	4713	4869	4878	4640	4681	4786	4875	4651	4739	4795	4847	4850	4844	4690	4898	4742	4633	4879	4846	4682	4780	4712	4636	4732	4842	0.44797	1.255	0.53576	0.44797	1.7908	5.7394	28
2471	1697	1544	2655	1556	1614	1625	1487	2654	2029	2357	2382	2731	2093	2095	1547	1626	2653	2652	1486	2554	2188	1700	2807	2190	1859	1698	2374	1948	2458	2644	2448	1680	2109	2727	2806	2105	2202	2547	2647	1683	1421	2383	2021	1414	1782	1361	2465	1555	2185	2730	1477	1946	1688	2457	2809	1864	2362	2808	2639	1699	1612	1413	1767	2732	2477	1854	2088	1420	2558	2009	2013	2272	2283	2189	1863	2031	2375	2470	1360	2726	1856	1781	2028	2381	2640	2270	1615	2478	2281	1554	2108	1845	2201	2549	2468	1613	1780	2173	1686	20.992	0.74848	4.5436	20.992	3.7952	34.55	46
