2.5079	8.0817	2.0402	12.699	2.7546	8.5546	8.7885	4.4952	1.367	5.0914	9.5286	10.041	2.1479	3.0046	3.8329	6.3369	1.9869	7.9818	9.3734	7.3673
3.3841	10.009	0.93579	12.413	2.1768	9.7327	9.6554	3.9268	1.3928	6.0527	5.1181	10.034	2.5206	5.1428	1.9604	5.9446	2.0311	5.9193	8.6591	3.9964
3.2336	7.8893	1.421	0	2.5465	9.4702	16.041	4.5829	1.7533	12.088	5.2849	0	3.0084	2.9215	2.4173	6.9248	2.306	7.1502	7.5642	7.4943
3.8108	8.9394	1.4531	0	0.64009	7.8512	9.8307	4.0079	1.3554	6.8412	7.003	8.0875	2.1163	3.3095	2.9076	5.9199	2.9698	5.0377	6.8302	4.2187
4.9634	9.4928	1.1788	0	3.0148	8.0023	8.4903	5.2507	2.1012	8.3239	5.38	9.9843	2.7153	6.6143	2.5597	5.3112	1.9863	4.6413	7.333	5.7461
3.1251	8.163	0.96712	10.734	1.4184	8.2292	9.0903	2.8071	1.2023	7.1199	6.7982	14.265	2.4095	3.4316	3.1553	6.0475	2.0072	5.6368	6.3052	4.2442
3.4238	8.1601	1.153	12.309	1.7933	6.9399	16.844	3.1663	1.757	3.7983	5.0568	13.666	1.5221	4.7919	3.9204	5.2363	5.0392	8.6196	7.7808	5.0521
3.1894	8.943	1.7454	8.2431	1.4335	8.9488	8.8424	5.8662	1.3914	6.4004	9.6359	0	1.8718	2.9477	2.9597	6.9427	2.1242	5.1416	7.1778	4.4092
4.8004	8.2047	1.2254	10.861	4.2217	9.1677	11.052	3.6806	1.4427	5.6893	5.7806	9.9483	1.6061	2.9903	1.8297	8.3185	1.7261	4.967	7.3505	3.1464
3.6151	8.4426	1.3741	9.7957	1.8406	5.9402	9.7716	5.6485	1.3752	4.7388	4.6582	9.7243	1.4949	3.4996	1.8624	6.365	1.9803	6.0049	7.2476	5.261
4.3657	9.2905	1.1488	0	1.1578	9.8701	7.8656	4.6355	1.3878	3.9732	4.6929	7.6648	1.7661	3.7199	2.7191	7.5578	2.5099	7.4893	7.4296	3.0424
4.7035	9.2082	1.2266	4.5491	1.0823	6.39	0	3.1044	1.3781	6.2567	4.8517	6.8362	1.6985	2.8504	2.138	5.6655	2.0448	7.3651	7.2442	3.6766
2.2763	8.7027	1.2312	12.851	0.45666	7.7423	9.3282	3.7725	1.7799	12.654	10.025	9.969	5.9543	3.8626	3.6158	6.4417	2.2474	5.7008	7.1218	4.0243
3.8943	8.8799	4.1142	9.9655	2.6805	8.9527	8.7499	5.1266	1.6683	4.9819	9.9102	8.504	1.4039	2.9357	2.1346	8.4846	2.2098	5.8973	5.1005	4.0122
3.409	8.6099	1.4134	13.199	0.70413	9.3053	10.93	3.9114	1.2521	7.0511	4.3702	7.3063	3.9103	2.5906	3.3564	7.1586	2.0072	5.9913	7.4578	5.4542
4.7578	8.8318	1.4655	10.622	0.87403	9.8558	8.8509	3.9332	1.3288	4.6631	5.1923	8.2246	1.4734	2.5174	3.1007	6.6395	2.0192	4.9886	8.2278	3.9509
3.0799	9.6733	1.2966	9.4296	3.4248	7.3817	9.5358	5.1906	1.3889	7.8363	4.5664	0	2.8621	4.9198	2.0732	5.6646	2.082	5.4187	7.3055	5.0937
2.9318	7.8732	8.6991	0	1.3508	8.9985	9.0904	4.2312	1.4338	4.9725	10.102	6.8656	1.5863	4.3398	3.8282	6.1123	3.0816	5.8054	8.435	3.794
4.5039	9.557	2.2346	12.929	0.83263	8.7626	8.7918	4.4385	1.3946	6.5532	4.9405	9.5666	1.8038	4.5236	2.2206	5.9564	2.1152	4.2994	6.6517	7.7634
4.6093	8.1851	1.1665	14.01	2.8025	7.5293	8.1318	3.0413	1.6071	6.7452	3.6975	0	4.9145	2.6634	3.1532	8.9863	2.0734	5.088	6.677	4.5839
2.9511	8.4258	1.3263	11.374	1.9577	8.4168	16.577	3.2829	1.3836	3.6185	4.4891	0	2.4663	3.2203	3.1349	7.4967	1.7096	7.4001	10.03	3.6355
4.2619	8.7402	1.1082	0	2.639	8.3452	11.229	4.7428	1.289	6.0485	5.3696	8.0893	2.3826	8.3875	2.1735	5.1797	2.1012	5.8966	7.4657	6.0788
4.3421	8.0726	0.92789	8.1826	0.34962	8.8609	8.6128	3.6976	1.7303	8.2389	9.8721	9.2674	2.2961	3.0332	2.4851	6.4668	2.4048	7.4131	7.442	4.8919
3.0866	8.3584	5.0341	4.3783	0.7854	6.9535	8.6812	7.031	1.461	3.9367	6.7945	10.215	1.8024	2.8908	3.5192	7.7025	2.533	5.6616	8.2297	3.3944
4.2392	8.4272	1.1915	9.666	3.1647	9.3403	10.338	4.8387	1.4543	5.6957	10.065	0	2.5285	2.8697	2.5123	8.1101	2.2441	4.8798	7.0374	6.1572
