500 locations,800 locations,1000 locations,1500 locations
4.5460180742612,4.85365327649779,4.96309571409303,5.20480358110533
4.68402144792543,5.052422834815,5.14881670801584,5.39604217799895
4.9884976498986,5.29057935529323,5.42095342176479,5.66669394172102
4.65277970627288,4.98309387669575,5.06390462685761,5.27879145199598
4.49532242215868,4.79772904611758,4.92093395506225,5.13989490337296
5.02197449838087,5.34908192136771,5.43379095021759,5.64510667460482
4.62157469216911,4.91129887722733,5.05048318564786,5.25703398032634
5.13291361279594,5.44628439670428,5.54147911564811,5.77196125819275
5.13648643641051,5.45535296295844,5.53155017575155,5.76561091897576
5.29531657285279,5.58985406976485,5.73306095978079,5.93549724172818
4.62532121802693,4.93526578062192,5.03487836600654,5.26070425798896
4.81629908279683,5.07078498898642,5.18397164734962,5.41292811389922
4.68101857112286,4.97978805494463,5.07837164770049,5.309084070564
5.17846813622545,5.48505288660418,5.60044765165692,5.80033977930931
4.7460663801849,5.04643624030487,5.17089896057652,5.38346125886097
5.2638581796318,5.5920508837363,5.67689008883011,5.95667259012695
5.6082039485324,5.93376469728213,6.07122799008148,6.30916588176233
4.36975635291527,4.69862142155075,4.80799964574954,5.02935659445982
5.09284692122811,5.41464977223124,5.51614974808922,5.72472613841797
4.3299090267171,4.6529922497536,4.77303031965059,5.01045189150566
4.96580774004601,5.27171701817623,5.37607179797108,5.62026300952781
4.99524966929624,5.29770207406224,5.40973699447676,5.65879419843132
4.74393413939178,5.07426514581505,5.17479951108742,5.39669544492311
5.03265613553825,5.36949920619188,5.44574527608376,5.67753798797698
4.77348934519533,5.09610144407146,5.22631194437997,5.43546509660614
5.03576160820706,5.39800474790426,5.4707223125288,5.71949469507098
4.93576600465668,5.2910174751779,5.37353591796316,5.60311149978534
4.73646943430191,5.04682764611478,5.13451196816567,5.34482768206807
4.77656831157905,5.09175140853275,5.20907772945056,5.43528855690181
4.84624971451251,5.14949136712679,5.23064508737337,5.44635411750515
