,observed_y,actual_y
1992,7.132252216339111,6.80512477197765
1993,7.132252216339111,7.17607180484762
1994,7.132252216339111,7.79471465804958
1995,7.132252216339111,7.28577649214466
1996,7.132252216339111,7.01817088438211
1997,7.132252216339111,6.992888152119
1998,7.132252216339111,7.249419130393
1999,7.132252216339111,6.6303451765267
2000,7.132252216339111,6.46791857043753
2001,7.132252216339111,6.59177436240052
2002,7.132252216339111,5.71179356427833
2003,7.132252216339111,7.35591221464171
2004,7.132252216339111,6.29049385186445
2005,7.132252216339111,7.58547467453457
2006,7.132252216339111,7.35619927503998
2007,7.132252216339111,7.64842335623491
2008,7.132252216339111,7.16883524618209
2009,7.132252216339111,5.92090262461304
2010,7.132252216339111,7.39357072046258
2011,7.132252216339111,7.60800496658593
2012,7.132252216339111,6.85896963675319
2013,7.132252216339111,7.65347862654127
2014,7.132252216339111,6.33604414215636
