2727	2361	2639	1479	1544	2093	2269	2803	1932	2363	2362	2645	1478	2724	2638	2095	1545	1762	1761	2804	2014	1933	2456	2726	2454	1.6541	0.47394	3.2725	1.6541	3.7464	1.9442	49
1650	1340	2146	1648	1888	2223	1279	1720	1396	1973	1804	1971	2061	2060	2411	2137	1587	1887	1972	1805	1520	1588	1879	2141	1656	1.0637	0.023642	8.8395	1.0637	8.8632	1.1919	63
4822	4846	4791	4568	4764	4618	4792	4549	4819	4874	4793	4736	4763	4765	4481	4708	4661	4569	4818	4685	4662	4582	4596	4790	4572	0.90371	0.6077	1.2603	0.90371	1.868	1.0195	97
4194	3554	3356	3456	3742	3657	3827	4236	3656	3735	4235	3555	4151	3740	4138	3655	3907	3560	3648	3459	3257	3647	3982	3258	4271	1.0328	4.6731	8.7871	1.0328	13.46	4.1391	87
53	99	125	23	150	9	10	17	70	207	240	36	46	169	172	35	49	84	16	96	73	8	154	137	153	0.16709	3.8181	2.2143	0.16709	6.0325	0.52661	101
2237	1463	2328	2422	1905	1135	1995	1136	1139	2069	1296	2067	1911	1527	1237	1595	1351	1190	1345	1472	1346	1748	1290	2238	1599	0.43471	0.44334	8.4057	0.43471	8.849	0.64105	69
3048	3531	3884	3330	2423	2956	2866	3238	2784	3530	1751	3961	4026	2345	1912	4027	1831	2076	3423	1913	3529	3428	2862	1996	2436	1.06	1.2185	9.8476	1.06	11.066	1.1847	101
3593	3086	3093	2664	2899	3386	3182	2902	3688	3680	3184	2819	2998	3857	3689	3378	3686	3851	2901	3687	2562	2821	3276	3773	3082	0.63009	0.28473	4.3748	0.63009	4.6596	0.7253	97
4104	4195	3469	4105	3366	4154	4152	4155	4156	3365	3468	3270	3370	3835	3470	4153	4196	3367	4103	3913	3369	4106	3921	3569	3266	0.45108	0.5347	1.3272	0.45108	1.8619	0.75797	86
3599	3594	4382	4440	4137	3499	4020	3694	3690	4177	3775	3937	3936	3497	3938	4386	3598	4462	4413	4383	4331	4299	4441	4354	4384	1.0853	0.5956	6.479	1.0853	7.0746	1.263	91
903	905	992	1128	1127	902	1229	1129	901	862	1177	859	861	993	599	1035	856	860	820	904	949	994	946	1176	950	0.61816	0.82967	6.4097	0.61816	7.2394	1.0155	100
2719	3448	3256	2713	2535	3455	2723	3639	2882	2622	2255	3154	3155	3450	3355	3254	3553	2437	3454	3353	3354	3451	3449	2623	3447	0.49603	3.2573	9.1728	0.49603	12.43	2.474	76
4302	4332	4392	4273	4303	4242	4277	4237	4241	4279	4200	4162	4272	4288	4333	4281	4274	4065	4245	4238	4275	4488	4493	4304	4240	0.47061	2.1665	2.1065	0.47061	4.273	1.0148	101
637	910	614	612	581	794	443	638	610	551	611	913	579	495	919	576	914	640	613	642	639	578	1100	641	520	0.51129	5.3786	4.076	0.51129	9.4545	1.3588	69
527	375	274	377	498	294	552	426	450	400	478	423	376	365	270	514	502	556	504	338	528	401	292	535	497	0.25453	2.273	2.9879	0.25453	5.2609	0.42737	101
3294	2919	2486	3005	1794	2295	1964	3393	3010	3197	1793	3099	3106	3293	3194	3196	3107	1878	2923	3392	2296	2918	3097	2579	3397	1.0223	1.0751	6.4043	1.0223	7.4795	1.4319	69
4698	4827	4581	4828	4673	4716	4743	4719	4747	4829	4889	4799	4723	4692	4601	4801	4890	4859	4858	4773	4721	4722	4746	4602	4802	0.39635	0.13071	2.232	0.39635	2.3627	0.47512	101
887	1641	1568	1434	1637	837	1431	804	764	1710	1498	803	885	1573	844	1106	879	929	1497	1709	1640	1505	1433	838	886	1.0896	0.87741	5.8099	1.0896	6.6873	1.5323	101
2505	2764	3216	2940	2413	2506	3322	3030	2844	3420	2925	2779	3029	3124	3308	2930	3114	2597	3709	3714	2854	3800	2931	2692	2924	0.81784	0.45116	7.3295	0.81784	7.7806	0.94173	101
1557	1866	2204	1362	1632	2378	1250	1146	1704	1307	1487	1862	1249	1555	1364	1201	2118	1422	1494	1251	1147	1254	1491	1486	2377	0.72121	2.2265	5.0264	0.72121	7.2529	1.6619	101
