500 locations,800 locations,1000 locations,1500 locations
4.49281674679935,4.72362399365071,4.92574908566081,5.13705750061561
4.61002818859225,4.83104042981472,5.08224911089162,5.33274365729263
4.89790349248974,5.12141038751416,5.36459458604093,5.57769151521185
4.53982739914923,4.76490393102624,4.99492908785702,5.1948669599835
4.49719413645173,4.64925637639753,4.92263519341703,5.10887750297215
4.93358501671846,5.15896708743662,5.39548543389024,5.60602354574955
4.550800758409,4.7898915068352,5.02502607819238,5.22311064977724
4.9952843615725,5.25037860667315,5.52615988269291,5.74910540199045
5.01987086789445,5.25772016154926,5.48079009752957,5.71435268260994
5.13330855979447,5.33645892646341,5.58414469394023,5.79370185819814
4.53766516993754,4.75504457086319,4.98995989944831,5.21438587229837
4.69032548357601,4.92066850739992,5.17759719672524,5.3820661444669
4.6274339999577,4.87221321982067,5.08388411900806,5.29661699690574
5.02458825666124,5.28524689794527,5.50767108606774,5.70574200839909
4.67099503814314,4.87170486904688,5.11926749846718,5.3364309251391
5.08906808354688,5.38887368001083,5.62217271465859,5.8825785788852
5.36636761274376,5.69090009765852,5.8875935807021,6.15283271282968
4.33024840710644,4.53066545616473,4.76860089603308,4.98347177091789
4.9167271341776,5.15642683181321,5.41574514999822,5.6251498950364
4.33314757667029,4.57500025510604,4.8067280854527,5.02824151983831
4.86816018709637,5.06897824807606,5.32716791364687,5.55541803573171
4.8973984485426,5.12512154076841,5.36587906868851,5.59573920814959
4.71152968837678,4.97018536554587,5.17070161078784,5.39826658788857
4.89683066511712,5.15803977776574,5.39101481567971,5.62647267597458
4.64926191868887,4.89584871220712,5.14965350205288,5.38686265078982
4.91354564902696,5.16753387285016,5.40679596828925,5.62696084417184
4.82214978313099,5.06585799724931,5.33451537910965,5.54675178666667
4.61067080063854,4.86833848376393,5.13160144094119,5.33575527250568
4.71577593062669,4.94755554840067,5.19777641744365,5.37234539576893
4.73325103330055,4.96231782316671,5.21238553260233,5.42418122857378
4.72893644203353,5.0039961020552,5.2674171903101,5.52623922273831
4.62093929111545,4.86781723525227,5.14676271697229,5.37607825620128
5.14411539321185,5.39067936211833,5.67519134503231,5.88479685642747
4.85923857504966,5.15004110450871,5.4127754616238,5.6719006834526
4.76492155955892,5.03218129620131,5.29919155708075,5.57158838951547
4.95492463275921,5.19314811628286,5.47071276344067,5.71108014245871
4.58612819775197,4.88694268510965,5.10441255804152,5.37466666203661
4.8528363344275,5.12694405173401,5.39613719708826,5.70700228450227
4.69138789125933,4.88357423178615,5.16229538318156,5.37266768070013
4.60318509036172,4.85486736044927,5.0918292327642,5.33819073756707
4.4934435764806,4.73078418397986,4.97635817277933,5.1924455942731
4.9944412560348,5.29308455049377,5.55607034188863,5.74225335502272
4.77263810110495,5.03589869775443,5.30469629575131,5.54200358960442
5.02358028166825,5.25635104608299,5.5492450832414,5.7579444691702
