4236	3742	3357	3554	3258	3898	4138	3560	3557	4194	4226	3162	3456	3457	4235	4271	3657	4151	4036	3890	1.0334	5.4994	7.901	1.0334	13.4	6.0144	97
503	428	463	355	274	477	437	230	439	415	625	336	411	361	252	231	593	407	488	251	0.45543	0.29725	2.8737	0.45543	3.1709	0.4866	63
3681	3590	3688	3857	3184	3580	3680	3689	2735	3378	3083	3769	3679	3276	2569	3088	3377	3096	2476	3182	1.2677	0.83083	4.0989	1.2677	4.9297	1.4434	51
2215	3493	2484	3099	3695	3204	3494	2920	3497	3690	3696	3496	3300	3596	3012	3597	3390	3108	3196	3007	1.5679	0.89447	5.7633	1.5679	6.6578	1.6998	101
4572	4765	4793	4548	4770	4662	4596	4794	4866	4878	4763	4571	4568	4792	4595	4661	4551	4620	4820	4570	1.1219	0.25602	1.544	1.1219	1.288	1.3297	101
4459	4352	4259	4252	3858	3860	4287	4255	4326	4387	4460	4481	4441	4480	3775	4457	4479	4325	4499	4289	1.3521	1.9812	5.1552	1.3521	7.1363	1.7613	68
2867	2162	1535	2436	1603	2337	2521	2344	2083	1748	1744	2433	2241	2621	2787	2240	2710	2332	1742	2341	1.2168	0.17866	8.8152	1.2168	8.9938	1.3544	58
8	166	229	146	73	164	163	187	209	21	186	49	220	10	283	182	205	190	261	17	0.36809	3.4319	2.324	0.36809	5.7559	0.86621	55
741	905	1284	862	1338	600	903	1283	815	950	1041	820	780	904	1230	949	739	1040	668	819	0.88864	1.9336	6.0854	0.88864	8.019	1.2584	56
1922	2643	2095	1545	1837	2640	2550	2268	2178	2269	2277	1766	2179	1765	2186	2094	2270	1685	1686	2276	2.1595	0.22809	3.5972	2.1595	3.8253	2.2729	63
3913	3669	3749	3909	3365	3835	3919	3270	4048	3469	3918	3914	3989	3912	3755	3269	3370	3568	4049	3569	0.61389	0.45808	1.499	0.61389	1.957	0.80857	101
1151	1362	1307	1364	752	1202	786	1361	1201	915	674	1011	917	712	1363	1150	710	1149	1422	753	0.83524	5.2059	4.0949	0.83524	9.3007	2.4378	101
3214	2766	3875	3955	3113	3119	3956	3704	2688	2932	3517	3871	2763	3876	2844	2770	3714	2681	3120	2842	1.654	0.28419	7.7614	1.654	7.4772	1.8045	53
760	804	766	796	618	1265	728	727	694	657	690	691	656	730	655	805	725	795	887	719	1.0111	1.4003	4.5561	1.0111	5.9564	1.3704	54
4563	4493	4532	4315	4443	4316	4633	4517	4419	4588	4531	4474	4442	4547	4634	4630	4492	4420	4565	4396	0.98868	2.1888	3.3406	0.98868	5.5294	1.4581	98
2141	1888	1796	2505	2412	1721	2227	2225	1390	2413	1964	1655	1804	2589	2595	1805	2596	1384	1723	1887	1.498	0.68859	8.6251	1.498	9.3137	1.7434	75
476	424	613	402	612	399	423	647	606	445	526	637	581	427	682	555	400	715	303	401	0.50776	6.3657	3.0284	0.50776	9.3941	1.7965	100
1904	1988	2152	1668	1138	1089	1600	1469	1404	1088	1290	1894	1188	2153	2064	1236	1294	1240	1238	1042	0.86605	0.82754	8.4166	0.86605	9.2442	1.2047	37
1864	2475	1421	1556	2556	1488	1781	1779	2200	1553	1420	2653	1486	2652	1554	1487	1778	1489	1555	2469	1.268	1.4823	4.95	1.268	6.4323	2.4089	65
3356	3155	1836	3252	3154	3727	3351	3251	1921	2623	2970	3156	3455	2538	2622	2799	2438	3449	2006	3355	0.67557	4.0629	7.1314	0.67557	11.194	1.5575	101
1709	1497	1429	1493	2302	1370	1439	1642	1317	1500	2214	2388	1782	1569	1372	1504	1498	2129	1570	1314	1.3744	0.43667	6.9877	1.3744	7.4243	1.5993	101
4195	4365	4302	4053	4286	4153	4200	3993	4366	4201	4104	4152	4105	4154	3992	4272	4237	4241	4103	4050	0.46952	0.5571	1.7052	0.46952	2.2623	0.5912	101
2866	2329	3528	3039	3622	3123	2599	3624	2328	2862	2239	2597	2946	2424	3719	3521	3529	2330	2864	2237	1.2002	0.16776	8.3265	1.2002	8.1588	1.2277	92
2711	3543	3137	2712	3231	2948	4027	3241	3230	2868	2792	3882	3531	3721	3043	3530	2949	3238	3040	3145	2.0436	4.1914	10.778	2.0436	14.969	3.3644	101
4827	4771	4797	4828	4801	4956	4723	4746	4747	4951	4720	4719	4744	4694	4745	4673	4743	4721	4949	4696	0.40155	0.09602	1.9731	0.40155	2.0691	0.52787	85
