2726	2804	2360	1765	2361	2727	1837	2724	1545	2268	2362	2803	1686	2093	1766	1546	2542	2179	1922	1848	2637	2549	2186	2277	1687	1.9018	0.45596	3.5158	1.9018	3.9718	2.2252	59
1519	1715	1650	1805	1721	2498	2411	1714	1795	1879	2321	1889	1643	1886	1284	2316	1887	1340	1581	2591	2319	1804	1888	2228	2500	1.4287	0.82746	8.6445	1.4287	9.472	1.7033	101
4568	4572	4596	4481	4571	4791	4792	4510	4570	4511	4820	4494	4765	4685	4499	4512	4770	4793	4551	4667	4737	4569	4662	4637	4898	1.0112	0.13309	2.2108	1.0112	2.0777	1.0981	49
3985	3161	4194	3742	3650	3651	3163	4226	3899	3653	3898	3655	4138	3260	3456	3561	4236	4235	4271	3258	3812	3555	3259	3257	3738	1.0906	5.8502	7.4856	1.0906	13.336	5.9225	67
16	190	17	161	10	3	49	211	167	184	208	166	35	207	239	178	186	210	47	4	36	164	206	21	240	0.32882	3.8938	2.2101	0.32882	6.1039	0.92846	50
1464	1995	2238	1349	1603	1140	1240	1135	2158	1294	1237	2329	1897	2328	1290	1042	1903	2422	1139	2237	2332	1091	2074	1043	1289	0.75366	1.0518	8.187	0.75366	9.2388	1.0457	99
3132	2791	4027	2515	1918	2243	2698	3626	3238	3428	3526	3530	2075	1835	2424	2613	2866	3961	2159	1754	3040	3039	2333	2245	2345	1.1517	2.2461	8.5982	1.1517	10.844	1.2008	54
3184	3681	3764	3761	3676	3926	2569	3929	3846	3185	3689	3276	3932	3376	3849	3765	2563	3925	3773	3928	3850	2562	3479	3927	3688	1.0781	1.2711	3.3776	1.0781	4.6488	1.2702	84
4154	4196	3916	4153	4104	3914	4155	3665	4052	4152	3469	4195	4156	4105	4106	3986	4103	3365	3912	3569	3366	3913	3992	4050	4107	0.43858	0.46313	1.4091	0.43858	1.8722	0.65247	80
3954	4085	4172	3497	3860	3775	4439	3945	3938	4414	4068	3496	4327	3694	3937	4441	4438	4413	3774	4411	3695	4025	4356	3939	4007	1.2483	1.2941	5.7804	1.2483	7.0745	1.5945	89
1175	820	862	1226	626	1041	694	861	905	815	729	859	692	1231	903	658	950	627	904	1225	766	949	1230	731	860	0.76937	1.3547	5.9776	0.76937	7.3323	1.1004	75
3448	2006	3154	2437	1836	3156	3253	3811	3449	2346	2799	3067	3256	3455	2531	3353	2005	1921	2798	3347	3155	2622	3450	3061	2623	0.6205	5.137	6.654	0.6205	11.791	1.6655	58
4286	4332	4367	4160	4158	4242	4157	4365	4237	4199	4302	4303	4272	4238	4273	4493	4474	4395	4274	4198	4246	4241	4197	4316	4109	0.55748	2.072	2.1576	0.55748	4.2296	0.948	101
642	645	551	613	610	747	523	639	746	607	786	612	643	638	720	606	647	609	581	1102	637	608	1101	614	716	0.66987	6.0703	3.4449	0.66987	9.5152	2.1273	101
294	486	387	377	415	328	487	424	312	362	379	504	274	451	273	400	401	422	558	413	449	423	488	425	337	0.36476	2.3715	2.6895	0.36476	5.061	0.55977	101
3098	1873	1794	3009	2913	3392	3302	1874	1878	3204	1877	3100	3196	2046	2481	3110	3199	3294	3109	1964	2919	2830	2763	2920	3107	1.3654	0.66148	6.9215	1.3654	7.5829	1.6423	63
4719	4673	4890	4773	4775	4695	4720	4722	4827	4743	4745	4858	4772	4716	4798	4855	4749	4801	4744	4696	4718	4797	4828	4836	4697	0.38674	0.38947	2.0018	0.38674	2.3912	0.52944	67
1637	1563	801	1572	1713	1439	1642	804	1568	929	1429	1370	1495	1371	802	1497	878	763	1011	803	1639	764	843	977	844	1.1174	1.1093	5.6133	1.1174	6.7226	1.4121	101
2506	2860	3523	3521	3113	3018	3120	3878	3421	2764	2780	3119	2514	2505	2924	3877	2852	3318	3016	3315	2858	3719	2511	2697	3030	1.115	0.29599	7.5771	1.115	7.8731	1.2175	45
1307	1562	1554	1784	1201	1198	1561	1494	1200	1486	1149	1151	1308	1150	1369	1421	1148	2204	1253	1422	2470	1487	1704	1199	1555	0.92332	2.5852	4.6479	0.92332	7.233	1.9647	59
