2272	2359	2455	2362	1934	2095	1933	1767	2270	1768	2452	2803	2104	2361	2014	1850	2546	1687	1849	1478	1935	2269	2453	1848	2178	0.82394	0.62848	3.1866	0.82394	3.8151	1.1108	84
2408	1728	2411	1804	1586	2498	2499	2321	1588	1658	1807	1725	1806	1729	1587	1657	1805	1890	2137	1887	1656	1730	1589	1891	1971	0.46609	0.45239	8.7683	0.46609	9.2207	0.78097	75
4817	4814	4756	4869	4812	4703	4845	4641	4813	4640	4783	4898	4680	4867	4868	4811	4757	4840	4684	4656	4729	4679	4875	4734	4870	0.073633	1.0792	0.41879	0.073633	1.498	0.18073	73
3259	3736	3558	3812	4028	3559	4145	4229	3358	3655	3360	3561	3891	3459	3965	3733	4042	3890	3728	4031	3554	3966	3260	3967	3742	0.45201	0.14593	12.436	0.45201	12.582	0.92973	89
17	24	99	16	23	137	14	206	3	100	36	49	10	54	2	170	7	210	102	8	86	4	15	32	35	0.10602	4.9296	1.3937	0.10602	6.3233	0.27924	101
1405	2242	2332	1138	2330	2071	1465	1905	1472	2326	1604	1140	1674	2235	1471	1137	1995	1673	1091	2158	1043	1139	1090	1672	1536	0.23793	1.0033	8.0915	0.23793	9.0948	0.493	94
2705	2084	1831	2082	3230	2428	2083	2423	3530	2003	3238	2081	2702	3531	3430	3138	2080	2167	3429	2002	1918	2703	1835	1917	2166	0.2038	2.1611	8.6403	0.2038	10.801	0.88744	65
3683	2480	3933	2478	3483	2817	2569	2568	3849	2384	2652	3848	3846	2385	3001	3853	3926	2816	2477	3282	3761	3762	3925	2564	3763	0.8692	0.59558	3.7793	0.8692	4.3749	1.1204	101
3909	3911	3914	3746	4107	3912	3910	4053	3758	3986	4055	3754	3462	3924	4108	3995	3913	3831	3568	3919	4054	3830	3834	3915	3745	0.61969	0.39658	1.4713	0.61969	1.8678	0.90315	101
4458	4417	4439	4440	4386	4414	4073	4385	4014	4441	3940	3946	4387	3778	3938	4462	3945	3497	3949	3869	4459	4416	4415	4438	4461	0.44439	1.5062	5.3175	0.44439	6.8237	1.1106	101
861	1041	947	820	905	1228	949	1231	1230	996	598	862	741	742	1229	779	904	1175	815	780	1174	1177	948	1226	777	0.63707	0.51408	6.6625	0.63707	7.1766	0.96175	38
2877	2715	3347	3256	3353	2169	3060	3455	3248	3150	3343	3242	2257	2973	2446	2347	3646	2255	3146	3355	2968	3059	2630	3251	3061	0.11518	1.0104	10.386	0.11518	11.396	0.24921	57
4057	4315	4393	4276	4280	4058	4475	4314	4272	4493	4285	4337	4454	3996	4316	4341	4289	4313	4455	4492	4206	4474	4396	4112	4343	0.42465	0.83623	3.3149	0.42465	4.1511	0.88556	62
469	684	495	613	606	647	747	581	611	443	577	521	716	614	546	496	550	523	494	1003	722	789	468	638	522	0.43184	5.504	3.3561	0.43184	8.8601	1.3331	61
535	615	438	582	439	445	470	617	415	723	527	509	396	444	420	511	583	648	536	554	553	585	584	616	499	0.24979	1.3908	3.6329	0.24979	5.0237	0.34802	69
2393	2300	2398	2397	2038	2750	2830	3395	2040	3109	2389	3205	3009	2911	2302	2123	2392	2301	2668	2041	3302	1958	2039	2124	1870	0.33626	0.1273	7.2298	0.33626	7.3571	0.7726	89
4943	4958	4915	4955	4929	4933	4891	4916	4936	4866	4959	4962	4948	4883	4853	4942	4949	4947	4946	4930	4836	4913	4953	4887	4917	0.066797	1.7826	0.41347	0.066797	2.1961	0.18251	101
1018	1315	1154	1433	1022	1204	977	1567	1432	1205	1429	1069	1495	1431	1374	1497	1430	1709	798	1371	839	1153	760	1152	1496	0.67806	0.84677	5.7514	0.67806	6.5982	1.1604	58
3018	3713	2682	2928	2419	3212	2325	2844	3017	2597	2418	2417	2766	3030	2929	3610	3117	2764	2924	3021	3802	2925	3113	3512	3803	0.20543	0.037795	7.7522	0.20543	7.7144	0.56934	62
1688	2191	1494	1778	1490	1310	1424	1559	1554	1369	1197	1367	1938	1359	1365	1555	1553	1427	1426	2114	1627	1862	1487	1425	1254	0.36117	1.7248	4.7944	0.36117	6.5192	0.66224	49
