2595	3190	1973	4025	3614	2481	3513	3597	1878	1641	2687	2675	1885	3197	2931	3191	3101	2833	2911	1713	3600	3003	3389	2320	3710	2489	1715	2392	3205	3294	3024	3212	3113	1791	3394	3411	3871	3503	3000	3215	3396	2505	3393	2411	2926	3611	2500	3390	2688	3114	3105	1712	3391	3400	3005	3955	3876	3102	3006	1711	1794	2045	2315	2412	3951	2597	2209	2844	2830	1640	2596	3288	3214	1639	1709	3511	1638	3512	3119	3696	0.95328	0.50473	7.1343	0.95328	7.6391	1.1188	69
219	461	217	485	377	316	161	379	10	540	167	182	120	188	231	263	338	562	283	36	261	172	154	16	424	160	592	505	513	337	2	164	427	502	238	358	191	34	204	227	459	35	446	312	294	499	264	245	4	317	563	367	401	476	471	455	146	171	352	236	118	163	439	500	99	252	473	331	49	390	230	388	310	510	168	45	237	328	134	117	0.28513	3.3729	2.6095	0.28513	5.9824	0.61077	101
1732	1292	1237	1889	1894	1239	1341	950	862	626	904	1401	1649	1812	1091	1512	1642	730	861	701	1130	1186	600	767	1643	1661	905	949	1236	625	736	1043	1593	594	659	996	1136	1042	856	732	693	933	994	1189	1517	658	779	903	1293	705	820	1291	1572	667	627	995	1657	668	1978	777	1240	1718	1504	1090	1190	742	860	1463	805	931	1041	1040	819	1571	1238	948	1584	1453	780	1039	0.55005	1.9417	6.3161	0.55005	8.2578	0.84822	98
2802	3163	4229	4194	4027	1921	4086	2622	3553	2883	2719	2541	3247	2262	3652	2801	2445	3144	2006	2974	3964	3742	3449	3063	3260	3461	2723	3962	3561	2437	2172	2800	4151	2875	3456	2799	4185	3257	3355	3895	4235	2346	3162	2634	3886	2540	3246	2717	2882	3725	3259	3255	3348	2626	3065	3810	2633	3061	3360	2722	3556	2539	2881	3647	3068	2972	2005	2973	3966	3248	4138	1836	3965	3356	4087	3059	3657	4236	3552	3655	0.74012	3.5672	9.1685	0.74012	12.736	1.9328	56
2068	1987	1472	3528	1412	3026	3719	3048	1985	3126	3629	2001	2421	2330	2509	1668	2867	3807	2334	2161	1992	1674	3626	3723	2148	3530	3531	3803	2164	3529	3037	2074	1406	1917	2700	2598	3041	2248	2152	3133	2251	2338	3428	1733	1464	1604	1471	3427	2332	1749	2234	2345	3522	1746	2065	1351	2239	1297	2238	2693	1998	1528	3712	1673	2252	1744	2612	1594	2613	2084	1466	2153	3534	3327	1355	1354	3524	3958	2784	1353	0.64565	0.39425	10.057	0.64565	9.6633	0.66696	68
4049	3993	4272	4278	4302	4159	4152	3671	4107	4332	3830	4241	4153	4243	4197	4163	3909	3911	4103	3995	3989	3752	4195	4104	3261	3268	4203	4335	4202	4061	3668	4237	4201	3848	3912	3915	3756	3930	3844	4048	4154	4242	4273	4274	3579	4196	3988	4276	4198	4240	3750	4306	3264	3913	3987	4238	3990	4106	3746	3665	4105	4155	4303	3986	4055	4199	4051	4162	3744	4108	4275	4200	4156	2570	3910	3992	4059	4109	4052	4053	0.43367	0.98887	1.6859	0.43367	2.6748	0.63056	77
4401	4204	4462	4116	4266	4005	4572	4244	4245	4279	4511	4137	4069	4411	4115	4551	4481	4024	4474	4119	3857	4465	4210	3596	4442	4299	4309	4443	4492	4510	3690	4549	3591	4337	3933	4397	4391	4121	4493	4436	4164	4532	4550	4004	4280	4384	3863	4512	4284	4441	4418	4205	4307	4167	4533	4395	4248	4530	4509	4517	4308	4420	4206	3694	4461	4166	4165	4062	4118	3937	4085	4460	4477	4497	3769	4499	4515	4218	4246	3945	0.7863	1.7164	4.0288	0.7863	5.7451	1.0606	82
913	497	644	1437	915	1370	676	914	614	1149	1496	609	591	717	579	835	1378	834	525	469	1488	963	1502	679	975	641	528	1557	557	831	590	1212	1322	588	1558	843	927	714	1206	1637	496	753	1627	640	558	1569	804	1312	611	498	678	1432	1112	883	746	1097	1309	613	577	918	655	1161	1252	550	556	612	916	803	552	1098	1102	589	623	1254	1490	1100	587	1362	574	1501	0.63912	2.9661	4.2757	0.63912	7.2418	1.1244	65
4847	4903	4823	4673	4557	4750	4932	4960	4851	4934	4742	4691	4948	4743	4593	4957	4568	4686	4597	4632	4633	4825	4747	4719	4694	4770	4652	4871	4596	4860	4928	4923	4797	4484	4692	4695	4626	4940	4798	4956	4739	4877	4716	4830	4666	4776	4645	4861	4621	4620	4780	4898	4746	4835	4774	4595	4893	4751	4769	4859	4854	4717	4668	4569	4890	4594	4548	4571	4744	4570	4904	4756	4507	4669	4644	4463	4852	4771	4718	4696	0.41088	0.10907	2.4754	0.41088	2.5845	0.5653	58
2642	2277	1780	2641	2094	2566	2105	1684	1556	1929	2476	2568	1933	2114	1421	2095	2477	1700	2807	1860	2553	1779	2367	2176	2263	2808	2552	1931	2655	2475	2654	1626	1610	1698	2728	2469	2653	1487	2185	2361	1697	1555	2551	1844	2724	1615	1486	1778	2096	1765	1625	2543	2549	2178	2470	1420	1554	2563	1553	1932	1838	2643	1485	2274	1616	2030	2478	2371	1686	2173	2270	2548	2385	1934	2187	1361	1699	1696	1866	2885	1.2166	1.147	4.4283	1.2166	5.5753	1.7797	73
