2804	2803	1922	1765	2546	2186	2641	2178	2360	1687	1.9657	0.57093	3.4008	1.9657	3.9718	2.2252	78
1804	2318	1643	2501	1284	1888	1805	2591	1879	1455	1.6024	0.81197	8.66	1.6024	9.472	1.7033	57
4596	4739	4511	4572	4571	4510	4765	4644	4738	4764	1.1506	0.045003	2.0327	1.1506	2.0777	1.0981	38
3163	3742	3561	3258	3456	3812	3554	4236	3653	3257	1.5218	4.2069	9.1289	1.5218	13.336	5.9225	52
181	14	10	191	198	57	227	166	190	164	0.43225	3.7654	2.3385	0.43225	6.1039	0.92846	57
2241	1989	2152	2328	1995	1348	1088	1043	1240	1292	0.95738	1.2319	8.0068	0.95738	9.2388	1.0457	67
1912	3238	2866	3529	2515	4027	2424	2345	3531	2159	1.3643	2.2585	8.5859	1.3643	10.844	1.2008	74
3850	3376	3928	3592	3761	3689	2562	3846	3088	2563	1.1875	0.96194	3.6868	1.1875	4.6488	1.2702	101
4053	3366	3834	3914	4196	3469	4195	4156	4103	4154	0.5195	0.50589	1.3663	0.5195	1.8722	0.65247	75
4217	4413	3775	3694	4458	4437	4414	4025	3496	3594	1.4769	1.4467	5.6277	1.4769	7.0745	1.5945	42
820	626	703	950	567	657	766	815	904	1227	0.9756	1.9905	5.3418	0.9756	7.3323	1.1004	76
1921	2798	3155	1836	2437	3455	2623	3156	2622	3346	0.85534	7.7665	4.0245	0.85534	11.791	1.6655	101
4242	4273	4366	4493	4303	4197	4157	4198	4246	4302	0.66168	2.2525	1.9771	0.66168	4.2296	0.948	97
674	639	642	581	614	641	607	523	613	647	0.7488	6.4982	3.0169	0.7488	9.5152	2.1273	92
477	415	436	274	375	486	337	327	424	427	0.43757	2.4757	2.5852	0.43757	5.061	0.55977	65
3397	1878	2919	2912	1964	2590	2296	3110	3294	1794	1.4811	0.76768	6.8153	1.4811	7.5829	1.6423	85
4772	4745	4673	4827	4693	4857	4951	4721	4743	4720	0.48158	0.39463	1.9966	0.48158	2.3912	0.52944	65
1639	803	929	764	1569	1713	1370	804	1431	1433	1.2045	1.0304	5.6922	1.2045	6.7226	1.4121	50
3719	2682	3018	2514	3420	2848	2413	3418	2860	3877	1.3218	0.20875	8.0818	1.3218	7.8731	1.2175	51
1251	1779	1494	1487	1201	1778	1307	1422	2470	1486	1.0182	2.7995	4.4335	1.0182	7.233	1.9647	101
