4236	4047	4235	4271	3985	4194	4151	3560	1.2075	10.41	2.2271	1.2075	12.637	12.938	66
4526	4442	4420	4492	4445	4632	4443	4421	1.3839	2.7431	3.7426	1.3839	6.4857	2.344	101
191	129	166	168	205	164	190	186	0.52101	0.16203	2.7241	0.52101	2.8862	0.43763	47
4065	4119	4004	3694	3777	4067	3939	3858	1.652	0.75612	3.8895	1.652	4.6456	1.593	56
2780	2866	2787	2428	2332	2864	2239	2237	1.5384	0.3785	8.2782	1.5384	8.6567	1.4225	47
916	640	639	609	676	746	678	638	0.94297	6.965	3.3605	0.94297	10.325	2.8434	39
1649	1887	1974	1804	1283	1228	1229	1519	1.9865	0.50419	8.8895	1.9865	9.3937	1.9936	37
2399	1886	1715	1965	1572	1640	1878	2053	1.9989	0.88201	8.2673	1.9989	9.1493	2.4339	69
4770	4742	4769	4715	4796	4709	4822	4708	1.6669	0.034957	1.1354	1.6669	1.1004	1.6897	52
4685	4572	4499	4493	4642	4596	4686	4662	1.1699	0.44278	1.959	1.1699	2.4018	1.0979	67
929	1437	1377	1504	974	885	1069	931	1.7841	1.5731	6.4929	1.7841	8.066	2.2275	57
4772	4696	4745	4673	4720	4771	4773	4751	0.54089	1.0751	2.1099	0.54089	3.185	0.8009	65
4461	4460	4481	4299	4386	4264	4383	4356	2.3575	2.0416	6.4236	2.3575	8.4652	2.6489	52
2457	2545	1837	2637	2094	2179	2178	2456	2.7216	0.024201	2.9692	2.7216	2.945	2.649	46
3548	3446	3238	3345	3346	3051	3348	3449	2.2898	6.1943	8.6827	2.2898	14.877	6.9057	81
815	902	700	741	1177	860	819	820	1.3841	1.8972	6.0809	1.3841	7.978	1.5269	50
2377	1556	1486	1488	1778	1487	1698	1863	1.4309	1.7602	4.7129	1.4309	6.4731	2.8745	101
4281	4159	4158	4238	4273	4200	4302	4366	0.70097	0.47051	1.6978	0.70097	2.1683	0.67754	59
3026	3877	3218	3517	3955	3020	2934	2933	2.0492	0.088443	7.6785	2.0492	7.7669	2.2317	73
4752	4725	4861	4683	4803	4707	4777	4756	1.3025	0.1653	1.6581	1.3025	1.4928	1.4619	65
2823	1948	2739	2566	2745	2820	2114	1864	2.3622	0.3172	6.2512	2.3622	6.5684	2.4631	51
4	10	9	36	49	8	48	35	0.65506	5.1134	0.67701	0.65506	5.7904	1.3676	69
2862	2860	3529	3125	3123	3420	2857	2946	1.8432	0.29931	7.6305	1.8432	7.9298	1.7781	68
4287	4169	4455	4210	4315	4474	4250	4341	1.4507	2.0932	3.9858	1.4507	6.079	1.8817	70
3155	3461	3457	3252	3251	2799	3064	2879	1.0636	1.1034	8.2081	1.0636	9.3115	1.104	101
3932	3929	3930	4002	3763	3928	3088	3681	1.4352	0.87182	3.2907	1.4352	4.1625	1.5404	51
3101	3294	2578	3097	2917	2391	3295	3199	2.1222	0.61314	6.3151	2.1222	6.9283	2.1574	51
1057	1374	1150	1373	1371	961	1310	917	1.3963	0.31719	5.0835	1.3963	5.4007	1.5052	67
2886	2979	2981	2278	2274	2884	2980	2803	1.8982	1.3043	2.6192	1.8982	3.9235	2.7186	68
564	512	625	593	766	690	538	624	0.89804	1.1766	3.2265	0.89804	4.4031	1.0123	101
3377	2562	3076	3173	3270	3182	3371	3271	1.1987	1.1356	2.6484	1.1987	3.784	1.4367	66
523	397	424	375	502	552	475	423	0.6692	6.7003	2.6211	0.6692	9.3214	2.447	44
1825	1293	1604	1294	1463	1669	1902	1347	1.5394	0.35732	9.0907	1.5394	9.448	1.668	35
439	336	477	363	461	296	415	503	0.631	0.13742	2.8144	0.631	2.9518	0.523	37
528	529	612	556	581	613	582	726	0.80881	1.0837	3.3144	0.80881	4.3981	1.0392	81
3696	3599	3396	3876	3397	3300	3702	3948	2.1505	0.77466	5.9057	2.1505	6.6803	2.2299	67
2692	2141	2597	2506	2056	2853	2140	2693	1.7685	0.96035	8.0932	1.7685	9.0535	1.955	82
1421	1422	1362	1251	1149	1308	1307	1199	1.1326	7.8351	3.8244	1.1326	11.66	5.0763	54
4823	4829	4797	4802	4892	4824	4800	4801	0.76059	0.022108	1.6622	0.76059	1.6844	1.0987	86
328	144	142	327	162	332	181	239	0.66163	7.4732	2.2828	0.66163	9.756	2.6321	44
1432	1498	1494	1571	1569	1433	1562	2211	1.7401	1.2154	6.1792	1.7401	7.3946	2.1486	58
2436	1908	2247	1748	2618	2246	2621	2529	1.858	0.23998	8.7756	1.858	9.0156	1.9298	73
3752	3469	3914	3569	3668	3269	3909	3665	0.74953	0.001492	1.4394	0.74953	1.4409	0.66674	48
4157	3753	4152	4237	4197	4107	4052	4106	0.58343	0.30156	1.4549	0.58343	1.7564	0.57472	89
903	905	1457	862	1185	1291	1091	1188	1.0305	1.3352	6.6045	1.0305	7.9397	1.1972	99
1848	2095	1765	1934	2009	2182	1545	1933	2.6529	0.44756	4.1272	2.6529	4.5748	2.9158	40
2631	2006	2622	1921	1836	2437	2087	2623	1.1407	8.7128	1.9868	1.1407	10.7	1.7472	70
2767	3106	3017	3113	2498	3207	2918	2590	2.2041	0.43854	6.9491	2.2041	7.3876	2.1559	75
3531	2867	4027	3530	3428	2788	2789	2948	2.5249	4.2894	9.8225	2.5249	14.112	3.2088	44
3809	3648	4138	3653	3554	3735	3729	3812	2.3738	2.7698	11.74	2.3738	14.51	3.5142	58
