3259	3456	3258	3812	4236	4151	4194	3652	3163	4138	3742	3821	4226	3657	3457	4235	1.1006	6.3305	7.0698	1.1006	13.4	6.0144	101
252	285	624	361	332	452	337	463	273	415	486	335	503	231	437	274	0.4576	0.27972	2.8912	0.4576	3.1709	0.4866	101
2819	3584	2735	3857	3184	3276	3768	3479	3277	3580	3688	3680	3689	3281	2476	3679	1.2636	1.0083	3.9214	1.2636	4.9297	1.4434	89
2215	3198	3597	3695	3496	3204	3294	3199	3690	3012	2831	3602	3596	3107	2484	3108	1.5868	0.80979	5.848	1.5868	6.6578	1.6998	69
4765	4571	4866	4685	4792	4568	4548	4708	4596	4662	4551	4595	4572	4793	4570	4791	1.1176	0.19096	1.4789	1.1176	1.288	1.3297	55
4481	4461	4211	3858	4007	4441	4327	4383	3949	3860	4499	4252	4479	3938	4480	4287	1.2516	2.3754	4.761	1.2516	7.1363	1.7613	58
1748	2710	2242	2787	2240	2241	2436	2247	1604	2786	2867	2528	2252	1472	1742	2332	1.1856	0.42792	8.5659	1.1856	8.9938	1.3544	84
73	198	211	10	162	171	246	190	36	207	240	260	163	164	210	49	0.38772	3.3935	2.3624	0.38772	5.7559	0.86621	54
950	820	1041	1230	862	668	856	780	1228	1338	905	994	661	861	1283	903	0.95763	1.7058	6.3131	0.95763	8.019	1.2584	45
2277	2360	2552	1849	2644	2178	1840	2542	1933	1545	1765	2640	2269	1767	1686	1837	2.1802	0.21471	3.6106	2.1802	3.8253	2.2729	81
3755	3473	3914	3989	3569	3370	3913	3270	3909	3469	4049	3568	3567	3919	3366	3365	0.62961	0.46185	1.4952	0.62961	1.957	0.80857	94
1362	1422	1201	1306	710	1305	748	714	1364	1102	1010	713	752	751	753	746	0.86099	5.3974	3.9034	0.86099	9.3007	2.4378	73
2764	2770	3954	3120	2682	2844	3955	3024	4025	2681	3618	3714	2688	3112	3793	3702	1.6863	0.51802	7.9952	1.6863	7.4772	1.8045	80
1265	727	755	1070	694	617	691	655	766	719	693	929	656	657	690	692	0.98638	1.5095	4.4469	0.98638	5.9564	1.3704	101
4442	4588	4420	4396	4475	4562	4419	4628	4443	4512	4517	4341	4547	4497	4511	4316	0.99852	2.2225	3.3069	0.99852	5.5294	1.4581	101
2590	1964	2505	1649	1886	2413	1582	2142	1518	1805	2596	1973	2504	1887	1650	1888	1.4832	0.79841	8.5153	1.4832	9.3137	1.7434	95
501	303	281	375	425	613	639	423	580	350	606	581	502	647	551	427	0.52639	6.4813	2.9127	0.52639	9.3941	1.7965	59
1237	1238	2153	1601	1904	1894	1139	1811	2152	1043	1135	1042	1189	1289	1294	1240	0.83394	1.1092	8.135	0.83394	9.2442	1.2047	78
1555	1488	2475	1490	1421	1558	1557	2469	1486	2114	2734	2470	2652	1487	1489	1554	1.2327	1.5354	4.8969	1.2327	6.4323	2.4089	69
2346	2799	2437	3455	2534	3155	3154	1921	2882	2006	2720	3727	3346	3356	3449	3355	0.74876	4.2379	6.9564	0.74876	11.194	1.5575	69
1370	1373	1562	1494	2302	2214	1572	1429	1314	1567	2213	1570	1571	1504	2388	1782	1.3879	0.62083	6.8035	1.3879	7.4243	1.5993	74
4240	4198	4241	3992	4286	4152	4053	4366	4201	4200	4273	4195	4106	4105	4103	4153	0.49073	0.58215	1.6802	0.49073	2.2623	0.5912	64
3626	2862	3123	2424	2866	2785	2599	3529	2506	2330	3030	2698	2239	3029	3421	3622	1.2559	0.12311	8.0356	1.2559	8.1588	1.2277	61
2948	3628	4027	3530	3144	2712	3040	3961	2868	3045	3140	3720	3238	3242	2711	3637	2.133	4.2876	10.681	2.133	14.969	3.3644	78
4719	4828	4891	4745	4746	4778	4747	4673	4720	4718	4743	4827	4771	4858	4960	4797	0.42524	0.072462	1.9966	0.42524	2.0691	0.52787	60
