4235	4236	4194	4151	0.3125	12.637	0	0.3125	12.637	12.938	50
4465	4421	4631	4420	1.8819	3.2439	3.2418	1.8819	6.4857	2.344	46
164	252	190	167	0.68842	0.0071526	2.8933	0.68842	2.8862	0.43763	65
4119	3694	4065	3858	1.9365	0.86086	3.7848	1.9365	4.6456	1.593	57
2239	2866	1989	2780	1.9318	0.36787	8.2889	1.9318	8.6567	1.4225	49
711	640	715	638	1.1255	7.2459	3.0796	1.1255	10.325	2.8434	65
1805	1229	1888	1973	2.1469	0.70931	8.6844	2.1469	9.3937	1.9936	30
1886	2137	1572	1795	2.4835	0.76418	8.3851	2.4835	9.1493	2.4339	61
4715	4770	4796	4742	1.8292	0.18742	1.2878	1.8292	1.1004	1.6897	33
4493	4662	4620	4642	1.4841	0.2852	2.1166	1.4841	2.4018	1.0979	29
885	1069	974	1504	2.0537	1.4027	6.6633	2.0537	8.066	2.2275	46
4673	4771	4720	4775	0.71829	1.0981	2.0869	0.71829	3.185	0.8009	62
4459	4263	4356	4352	2.7633	2.2827	6.1825	2.7633	8.4652	2.6489	40
2181	2178	2639	1922	2.9763	0.075747	3.0207	2.9763	2.945	2.649	40
3247	3450	3446	3449	2.9154	4.8539	10.023	2.9154	14.877	6.9057	29
780	820	860	741	1.7057	2.9922	4.9859	1.7057	7.978	1.5269	54
1489	2285	1487	1627	1.9694	1.2049	5.2681	1.9694	6.4731	2.8745	51
4238	4200	4272	4201	0.88229	0.66947	1.4989	0.88229	2.1683	0.67754	27
3877	3120	2934	3020	2.3486	0.4326	7.3343	2.3486	7.7669	2.2317	38
4683	4803	4897	4777	1.3919	0.085331	1.5781	1.3919	1.4928	1.4619	57
2742	2739	1864	2029	2.6984	0.19513	6.3733	2.6984	6.5684	2.4631	41
49	36	10	14	0.86496	5.096	0.69439	0.86496	5.7904	1.3676	44
2946	3123	3125	2862	2.2199	0.65915	7.2707	2.2199	7.9298	1.7781	83
4284	4455	4169	4474	1.7806	1.9229	4.1561	1.7806	6.079	1.8817	50
3256	3063	3252	2799	1.4466	1.3897	7.9218	1.4466	9.3115	1.104	54
4002	3928	3281	3929	1.6284	1.0186	3.1438	1.6284	4.1625	1.5404	64
3296	3100	2484	3196	2.5542	0.68979	6.2385	2.5542	6.9283	2.1574	45
1430	1102	1101	1370	1.7296	0.55392	4.8467	1.7296	5.4007	1.5052	36
2979	2886	2981	2980	2.0225	1.7679	2.1555	2.0225	3.9235	2.7186	60
564	690	593	625	1.0847	1.0678	3.3353	1.0847	4.4031	1.0123	56
3480	3270	3371	3173	1.3783	1.5235	2.2604	1.3783	3.784	1.4367	54
579	502	375	424	0.85688	6.6147	2.7067	0.85688	9.3214	2.447	74
1242	1293	1347	1905	1.7872	1.203	8.2449	1.7872	9.448	1.668	33
337	437	486	359	0.82738	0.42708	2.5247	0.82738	2.9518	0.523	56
581	529	556	612	1.0234	1.1852	3.2129	1.0234	4.3981	1.0392	57
3948	3954	3696	3396	2.5296	0.1071	6.5732	2.5296	6.6803	2.2299	66
2598	2775	2140	2056	2.2031	0.60774	8.4458	2.2031	9.0535	1.955	35
1149	1362	1200	1422	1.2813	7.8182	3.8413	1.2813	11.66	5.0763	74
4950	4801	4797	4802	0.87742	0.0573	1.7417	0.87742	1.6844	1.0987	58
162	328	198	327	0.85373	7.5698	2.1862	0.85373	9.756	2.6321	31
1498	1638	1782	1494	2.0204	1.5633	5.8313	2.0204	7.3946	2.1486	61
2710	1993	2247	2436	2.1906	0.4981	8.5175	2.1906	9.0156	1.9298	57
3909	3665	3668	3365	0.93421	0.090989	1.3499	0.93421	1.4409	0.66674	39
4237	4106	3986	4157	0.75311	0.3434	1.413	0.75311	1.7564	0.57472	30
1091	1187	903	1292	1.4308	1.4011	6.5387	1.4308	7.9397	1.1972	37
1934	2095	1766	1545	2.8783	0.25944	4.3154	2.8783	4.5748	2.9158	49
2006	2437	1921	2623	0.89456	10.54	0.16006	0.89456	10.7	1.7472	56
3105	3113	2498	3107	2.5428	0.77309	6.6145	2.5428	7.3876	2.1559	53
2948	2788	2867	3530	2.809	5.8887	8.2233	2.809	14.112	3.2088	91
3809	3559	3556	3898	3.0223	1.7066	12.803	3.0223	14.51	3.5142	61
