4236	3742	4047	4194	4151	3902	3560	4235	3736	3654	2.0023	7.3645	5.273	2.0023	12.637	12.938	50
4526	4492	4420	4502	4632	4422	4605	4501	4421	4424	1.4804	2.2987	4.187	1.4804	6.4857	2.344	41
166	167	211	163	190	186	129	191	164	206	0.47008	0.21788	2.6683	0.47008	2.8862	0.43763	62
3778	3693	4065	3937	4119	3690	4004	4005	4120	3695	1.5517	0.73051	3.9151	1.5517	4.6456	1.593	84
2425	2780	2787	2866	1989	2238	2864	2152	2428	2521	1.4527	0.39238	8.2643	1.4527	8.6567	1.4225	48
676	640	710	711	715	609	677	638	916	678	0.89917	7.1586	3.1669	0.89917	10.325	2.8434	73
1887	1888	1804	1580	1229	1805	1650	1973	1456	1450	1.8023	0.89422	8.4994	1.8023	9.3937	1.9936	83
2053	1573	1886	1572	1878	2307	1970	1964	1640	1641	1.9985	1.0049	8.1444	1.9985	9.1493	2.4339	35
4770	4796	4715	4769	4742	4822	4708	4735	4849	4850	1.647	0.040152	1.1406	1.647	1.1004	1.6897	86
4642	4685	4620	4568	4572	4511	4493	4661	4662	4499	1.1092	0.26098	2.1408	1.1092	2.4018	1.0979	101
930	1505	1376	1503	929	1504	1069	1439	931	974	1.781	1.1806	6.8854	1.781	8.066	2.2275	56
4772	4771	4745	4751	4776	4719	4673	4720	4774	4773	0.51024	1.115	2.07	0.51024	3.185	0.8009	101
4326	4352	4264	4178	4299	4438	4458	4481	4480	4439	2.0361	2.1424	6.3228	2.0361	8.4652	2.6489	64
2178	2457	2181	2270	2637	2363	2094	1837	1922	2269	2.6708	0.09041	3.0354	2.6708	2.945	2.649	34
3245	3447	3143	3548	3238	3347	3449	3446	3346	3348	2.1556	4.9068	9.9703	2.1556	14.877	6.9057	84
820	780	861	1177	739	902	860	819	741	815	1.3296	2.2347	5.7434	1.3296	7.978	1.5269	55
1555	2377	1778	1861	1688	1486	1489	1487	1553	1558	1.4598	1.6477	4.8254	1.4598	6.4731	2.8745	101
